token,driving_direction_compliance_run1,driving_direction_compliance_run2,ego_progress_run1,ego_progress_run2,score_run1,score_run2
2db75185de1d5763,1.0,1.0,0.9584,0.6858,0.9827,0.8691
ee9615c4b10d5ec9,1.0,1.0,1.0,0.4699,1.0,0.7791
fd9b227cec3d5c3f,1.0,1.0,0.881,0.7041,0.9504,0.8767
5ad9f64f2d295e4b,1.0,1.0,1.0,0.7845,0.5833,0.4935
6b2cda5004dc5df9,1.0,1.0,1.0,0.6978,1.0,0.8741
301f483843535f89,1.0,1.0,1.0,0.8296,1.0,0.929
6c64511810415244,1.0,1.0,0.9688,0.8433,0.987,0.9347
7868ce187ae55819,1.0,1.0,1.0,0.5984,1.0,0.8327
4064f2ec7a2f56ef,1.0,1.0,1.0,0.384,1.0,0.7433
dd157f14e18f5a1a,1.0,1.0,1.0,0.1416,1.0,0.6424
ed534c3b8d86515e,1.0,1.0,0.835,0.835,0.9313,0.9313
238f1cddb9415996,1.0,1.0,0.7621,0.491,0.9009,0.7879
80a4b14aef3f5a52,1.0,1.0,1.0,0.5494,1.0,0.8123
ef90f66b5d465ebf,1.0,1.0,1.0,1.0,1.0,1.0
471d0206688f5e3b,1.0,1.0,0.6349,0.6349,0.8479,0.8479
4a557f1bfe3b5645,1.0,1.0,1.0,0.9334,0.5833,0.5556
6404a27bddb85488,1.0,1.0,1.0,0.2424,1.0,0.6843
e6db7be94a175aec,1.0,1.0,0.8619,0.7846,0.9425,0.9102
3c58a86242fe5671,1.0,1.0,1.0,0.6085,1.0,0.8369
4c3718ea056c5656,1.0,0.5,1.0,0.5437,1.0,0.4049
2d060a1354d4545e,1.0,1.0,1.0,0.6277,1.0,0.8449
67b05cf704325e6b,1.0,1.0,0.0,0.0,0.0,0.0
015011d2b73158b7,1.0,1.0,1.0,0.5312,1.0,0.8046
e5abdd8b726e5a2f,1.0,1.0,1.0,0.5146,1.0,0.7978
741ee8b9ea3059a5,1.0,1.0,1.0,0.2563,1.0,0.6901
c8bf35e6c9065d83,1.0,1.0,0.8237,0.8012,0.9265,0.9172
3e77b33549485e34,1.0,1.0,1.0,0.7654,1.0,0.9023
f24ade1ee3ac51ce,1.0,1.0,1.0,0.7013,0.5833,0.4589
a9c9765a005351b9,1.0,1.0,1.0,0.6732,1.0,0.8639
1e15c5256da5549a,1.0,1.0,1.0,0.2746,1.0,0.6977
3716402a783c5689,1.0,1.0,1.0,0.4825,1.0,0.7844
2957826433915ff9,1.0,1.0,0.8266,0.8266,0.9277,0.9277
5a468d5e9d955993,1.0,1.0,0.9606,0.7027,0.9836,0.8761
23f0187033d658d9,1.0,1.0,0.8001,0.4145,0.9167,0.7561
60c9aabf696a5756,1.0,1.0,1.0,0.7033,1.0,0.8764
8869a2f03bbd5570,1.0,1.0,1.0,0.0877,1.0,0.6199
f0f77f6f5cb4562c,1.0,1.0,1.0,0.4905,1.0,0.7877
95448c5ace9e5a22,1.0,1.0,1.0,1.0,1.0,1.0
955af39177fe5ba1,1.0,1.0,0.875,0.824,0.9479,0.9266
47ece51118f95d1d,1.0,1.0,1.0,0.7115,1.0,0.8798
e76485315c2c5028,1.0,1.0,1.0,0.7684,1.0,0.9035
3f38262eb4d55376,1.0,1.0,0.849,0.6716,0.9371,0.8632
291e2af79c2258d5,1.0,1.0,0.9976,0.7498,0.999,0.8958
dcd3886f044a5e29,1.0,1.0,0.8543,0.8472,0.9393,0.9363
6a85f61bdde35d74,1.0,1.0,0.8675,0.5529,0.9448,0.8137
ff137d1eea555686,1.0,1.0,0.8406,0.8406,0.9336,0.9336
64f56e62619850b2,1.0,1.0,0.8008,0.4636,0.917,0.7765
ca58b2e039305479,1.0,1.0,0.839,0.839,0.9329,0.9329
ada396669cec56ef,1.0,1.0,0.6379,0.6379,0.8491,0.8491
fce43d129a9154a1,1.0,1.0,1.0,0.4457,1.0,0.769
1fd4a838b258571f,1.0,1.0,0.9361,0.8074,0.9734,0.9198
6f7a20c618a9573e,1.0,1.0,0.8801,0.7008,0.95,0.8753
58d75e229a0e52bc,1.0,1.0,1.0,1.0,1.0,1.0
ed7e9a246a01525d,1.0,1.0,1.0,0.4456,0.5833,0.3523
c4b85436e314515b,1.0,1.0,0.6039,0.6039,0.835,0.835
718c914ede2f5229,1.0,1.0,0.803,0.803,0.9179,0.9179
80752a827b8253fe,1.0,1.0,0.8438,0.8002,0.9349,0.9167
7b263d7980f55503,1.0,1.0,0.9783,0.9752,0.991,0.9897
faf7e71648b65503,1.0,1.0,0.6435,0.6435,0.8515,0.8515
418f3b3a155f5655,1.0,1.0,0.8451,0.8381,0.9355,0.9325
6e3c7a34388e5ae3,1.0,1.0,1.0,0.6173,1.0,0.8406
d514826bdd045d68,1.0,1.0,1.0,0.6325,1.0,0.8469
26af85cbc2d15e05,1.0,1.0,0.9841,0.7182,0.9934,0.8826
847ac59d6cce5bc4,1.0,1.0,0.8688,0.8688,0.9453,0.9453
87b8587f94c5549a,1.0,1.0,1.0,0.6711,1.0,0.8629
e7cfffa4e8dd53a8,1.0,1.0,1.0,0.771,1.0,0.9046
ab8f5b7368a45a6d,1.0,1.0,0.8123,0.7741,0.9218,0.9059
acc47057bb3d556d,1.0,1.0,1.0,0.8066,1.0,0.9194
de9dd93857cf5ab5,1.0,1.0,0.8639,0.7254,0.9433,0.8856
f0a6222ab3e55174,1.0,1.0,1.0,0.0943,1.0,0.6226
80793d56acc15d48,1.0,1.0,1.0,0.4909,1.0,0.7879
94c7ef641e1c5dd7,1.0,1.0,0.7356,0.5167,0.8898,0.7986
7f00cbbc74695c32,1.0,1.0,1.0,0.8583,1.0,0.9409
43162b00fe4550b8,1.0,1.0,0.8993,0.8198,0.958,0.9249
1a9a1f65b4cc5d1d,1.0,1.0,1.0,0.9454,0.5833,0.5606
fdfad1317cd75455,1.0,1.0,1.0,1.0,1.0,1.0
c06c4ffcf72653a5,1.0,1.0,1.0,0.6941,1.0,0.8725
dd4483f390725319,1.0,1.0,0.9556,0.3894,0.9815,0.7456
998c6c28d1475e78,1.0,1.0,0.6208,0.6208,0.842,0.842
e367d7a3c3b55302,1.0,1.0,1.0,0.9344,1.0,0.9727
29b49b3e2c0f5ec2,1.0,1.0,0.9587,0.7772,0.9828,0.9071
1bd8492a6487562f,1.0,1.0,0.9904,0.7727,0.996,0.9053
d88fdf29aeed58f5,1.0,1.0,0.8488,0.4622,0.937,0.7759
54c208abe15c56e5,1.0,1.0,1.0,0.6076,1.0,0.8365
697882c22eb65ca7,1.0,1.0,0.8693,0.7932,0.9455,0.9138
c5b585ddf50d5f1f,1.0,1.0,1.0,0.6935,1.0,0.8723
d1065c7c84e054ae,1.0,1.0,1.0,1.0,1.0,1.0
b133316a0e795993,1.0,1.0,0.7698,0.6654,0.9041,0.8606
0727a3cccad352d7,1.0,1.0,1.0,0.5411,1.0,0.8088
f34af4dbbbd35a23,1.0,1.0,1.0,0.7477,1.0,0.8949
dbfc9f81daf956a9,1.0,1.0,1.0,1.0,1.0,1.0
ae07a1ea49135359,1.0,1.0,1.0,0.9287,1.0,0.9703
20024f7ea9635ed8,1.0,1.0,1.0,0.7543,1.0,0.8976
4256146a0b765876,1.0,1.0,1.0,0.7962,1.0,0.9151
5d12ad55fdd858e1,1.0,1.0,0.0,0.0,0.0,0.0
ed3e5181549254bc,1.0,1.0,0.9114,0.5623,0.9631,0.8176
07fb7a73409e53cf,1.0,1.0,0.976,0.7952,0.99,0.9146
5b3bc72c557a5a17,1.0,1.0,0.658,0.658,0.8575,0.8575
36c9f5ba92385cee,1.0,1.0,0.8023,0.7179,0.9176,0.8825
7b8d8487706f501e,1.0,1.0,0.0,0.0,0.0,0.0
88152114a47d5175,1.0,1.0,1.0,0.5278,1.0,0.8032
f6082f18c392582f,1.0,1.0,1.0,0.885,1.0,0.9521
6856c3ad77315d3c,1.0,1.0,0.7718,0.5509,0.9049,0.8129
288ea364ec115f46,1.0,1.0,1.0,0.5531,1.0,0.8138
d4e058ec6a795ef1,1.0,1.0,0.8105,0.7697,0.921,0.904
b432924be8c151d8,1.0,1.0,0.8425,0.8425,0.9344,0.9344
5177cf8521f05855,1.0,1.0,0.9192,0.6779,0.9663,0.8658
b1b1e99705dc5afc,1.0,1.0,0.927,0.8057,0.9696,0.9191
93092fbeb57f5e9a,1.0,1.0,1.0,0.8491,1.0,0.9371
c6c94bd6691c5008,1.0,1.0,1.0,0.7237,0.5833,0.4682
27d74807a89a5268,1.0,1.0,1.0,0.953,1.0,0.9804
12177b43d67d51a7,1.0,1.0,1.0,0.6987,1.0,0.8745
8a5809217c605979,1.0,1.0,0.9858,0.7407,0.9941,0.8919
4d6e0b4cf60f5e98,1.0,1.0,1.0,0.631,1.0,0.8462
a4778444628f5c49,1.0,1.0,1.0,0.7694,1.0,0.9039
83a9fe7e03fd5755,1.0,1.0,0.6573,0.6573,0.8572,0.8572
f4eec162c14e5bfa,1.0,1.0,1.0,0.5661,1.0,0.8192
bb73caa6692856bf,1.0,1.0,1.0,0.7948,1.0,0.9145
535e19c081ec5c28,1.0,1.0,0.8509,0.6799,0.9379,0.8666
530176929c015182,1.0,1.0,1.0,0.8751,1.0,0.9479
88b49de4eea35896,1.0,1.0,0.9025,0.5382,0.9594,0.8076
2696e377ac3e579b,1.0,1.0,0.959,0.5323,0.9829,0.8051
ed7a0f74484d58a8,1.0,1.0,1.0,0.0742,1.0,0.6143
average,1.0,0.9959,0.907,0.6626,0.9267,0.8216
